Fecha,Confirmado
2020-03-13,3
2020-03-14,4
2020-03-15,6
2020-03-16,7
2020-03-17,8
2020-03-18,12
2020-03-19,12
2020-03-20,35
2020-03-21,44
2020-03-22,60
2020-03-23,65
2020-03-24,72
2020-03-25,108
2020-03-26,121
2020-03-27,132
2020-03-28,161
2020-03-29,171
2020-03-30,188
2020-03-31,211
2020-04-01,245
2020-04-02,259
2020-04-03,285
2020-04-04,321
2020-04-05,345
2020-04-06,395
